business_cluster,subgroup
Cardamom Extract & Products,Cardamom Pod Powder
Cardamom Extract & Products,Cardamom Seed Extract
Carrageenan,Carrageenan Gum Soluble Fibre
Carrot Extract & Products,Black Carrot Root Juice Powder
Carrot Extract & Products,Carrot Root Extract
Carrot Extract & Products,Carrot Root Juice Powder
Carrot Extract & Products,Carrot Root Powder
Carrot Extract & Products,Purple Carrot Root Extract Antocyanins
Carrot Extract & Products,Purple Carrot Root Juice Powder
Casein Protein,Acid Casein
Casein Protein,Casein Hydrolysate
Casein Protein,Infant Whey Casein Protein Concentrate Protein
Casein Protein,Micellular Casein
Cayenne Extract & Products,Cayenne Pepper Fruit Extract
Cayenne Extract & Products,Cayenne Pepper Fruit Extract Capsaicinoids
Cayenne Extract & Products,Cayenne Pepper Fruit Powder
Cayenne Extract & Products,Cayenne Pepper Fruit Powder 100K SHU
Cayenne Extract & Products,Cayenne Pepper Fruit Powder 40K SHU
Chaga Extract & Products,Chaga Fungus Mycelium Extract Beta Glucan ExportF
Chaga Extract & Products,Chaga Fungus Mycelium Powder ExportF
Chaga Extract & Products,Chaga Mushroom Fungus Sclerotium Extract Beta Glucan ExportF
Chaga Extract & Products,Chaga Mushroom Fungus Sclerotium Extract ExportF
Chaga Extract & Products,Chaga Mushroom Fungus Sclerotium Extract Polysaccharides Beta Glucan ExportF
Chaga Extract & Products,Chaga Mushroom Fungus Sclerotium Extract Polysaccharides Beta Glucan Triterpene ExportF
Chaga Extract & Products,Chaga Mushroom Fungus Sclerotium Extract Polysaccharides ExportF
Chaga Extract & Products,Chaga Mushroom Fungus Sclerotium Extract Polysaccharides Polyphenols ExportF
Chaga Extract & Products,Chaga Mushroom Fungus Sclerotium Extract Polysaccharides Triterpene ExportF
Chaga Extract & Products,Chaga Mushroom Fungus Sclerotium Extract Polysaccharides Triterpenoids ExportF
Chaga Extract & Products,Chaga Mushroom Fungus Sclerotium Powder ExportF
Chaga Extract & Products,Siberian Harvested Chaga Mushroom Fungus Sclerotium Extract ExportF
Chaga Extract & Products,Siberian Harvested Chaga Mushroom Fungus Sclerotium Granular ExportF
Chamomile Extract & Products,Chamomile Flower Extract
Chamomile Extract & Products,Chamomile Flower Extract Apigenin
Chamomile Extract & Products,Chamomile Flower Extract Flavonoids
Chamomile Extract & Products,Chamomile Flower Powder
Chamomile Extract & Products,Chamomile Herb Flower Extract
Chamomile Extract & Products,Chamomile Leaf Powder
Cherry Extract & Products,Black Cherry Bark Powder
Cherry Extract & Products,Black Cherry Fruit Extract
